
V3= -1 to 1 in 0.01 step
NO. V3 I3
 V A
1 -1 -0.0050428
2 -0.99 -0.0049929
3 -0.98 -0.0049426
4 -0.97 -0.0048931
5 -0.96 -0.0048429
6 -0.95 -0.0047933
7 -0.94 -0.0047429
8 -0.93 -0.0046927
9 -0.92 -0.0046428
10 -0.91 -0.0045928
11 -0.9 -0.0045428
12 -0.89 -0.0044926
13 -0.88 -0.0044424
14 -0.87 -0.0043923
15 -0.86 -0.004342
16 -0.85 -0.0042924
17 -0.84 -0.004242
18 -0.83 -0.0041918
19 -0.82 -0.0041415
20 -0.81 -0.0040912
21 -0.8 -0.0040407
22 -0.79 -0.0039905
23 -0.78 -0.0039402
24 -0.77 -0.0038899
25 -0.76 -0.0038396
26 -0.75 -0.0037897
27 -0.74 -0.0037392
28 -0.73 -0.0036889
29 -0.72 -0.0036385
30 -0.71 -0.003588
31 -0.7 -0.0035374
32 -0.69 -0.0034874
33 -0.68 -0.0034371
34 -0.67 -0.0033866
35 -0.66 -0.0033363
36 -0.65 -0.003286
37 -0.64 -0.0032353
38 -0.63 -0.0031848
39 -0.62 -0.0031347
40 -0.61 -0.0030844
41 -0.6 -0.0030336
42 -0.59 -0.0029833
43 -0.58 -0.0029329
44 -0.57 -0.0028822
45 -0.56 -0.0028319
46 -0.55 -0.0027819
47 -0.54 -0.0027311
48 -0.53 -0.0026807
49 -0.52 -0.0026302
50 -0.51 -0.0025792
51 -0.5 -0.0025292
52 -0.49 -0.0024787
53 -0.48 -0.0024281
54 -0.47 -0.0023777
55 -0.46 -0.0023268
56 -0.45 -0.0022767
57 -0.44 -0.0022262
58 -0.43 -0.0021758
59 -0.42 -0.0021251
60 -0.41 -0.0020743
61 -0.4 -0.0020238
62 -0.39 -0.0019732
63 -0.38 -0.0019229
64 -0.37 -0.0018723
65 -0.36 -0.0018216
66 -0.35 -0.0017714
67 -0.34 -0.0017205
68 -0.33 -0.0016699
69 -0.32 -0.0016198
70 -0.31 -0.0015689
71 -0.3 -0.001518
72 -0.29 -0.0014677
73 -0.28 -0.0014169
74 -0.27 -0.0013663
75 -0.26 -0.001316
76 -0.25 -0.0012658
77 -0.24 -0.0012147
78 -0.23 -0.0011643
79 -0.22 -0.0011136
80 -0.21 -0.0010626
81 -0.2 -0.0010123
82 -0.19 -0.00096179
83 -0.18 -0.00091113
84 -0.17 -0.00086037
85 -0.16 -0.00080978
86 -0.15 -0.00075914
87 -0.14 -0.00070885
88 -0.13 -0.00065819
89 -0.12 -0.00060745
90 -0.11 -0.00055691
91 -0.1 -0.00050616
92 -0.09 -0.00045532
93 -0.08 -0.00040504
94 -0.07 -0.00035434
95 -0.06 -0.00030373
96 -0.05 -0.00025296
97 -0.04 -0.00020233
98 -0.03 -0.00015171
99 -0.02 -0.00010127
100 -0.01 -5.0732E-05
101 0 2.5541E-08
102 0.01 5.078E-05
103 0.02 0.000101487
104 0.03 0.00015188
105 0.04 0.00020284
106 0.05 0.000253
107 0.06 0.00030378
108 0.07 0.00035453
109 0.08 0.00040534
110 0.09 0.00045586
111 0.1 0.00050657
112 0.11 0.00055687
113 0.12 0.00060757
114 0.13 0.00065793
115 0.14 0.00070892
116 0.15 0.00075948
117 0.16 0.0008102
118 0.17 0.00086092
119 0.18 0.00091136
120 0.19 0.00096189
121 0.2 0.00101255
122 0.21 0.00106321
123 0.22 0.00111395
124 0.23 0.0011648
125 0.24 0.0012147
126 0.25 0.0012656
127 0.26 0.0013161
128 0.27 0.001367
129 0.28 0.0014175
130 0.29 0.0014684
131 0.3 0.0015184
132 0.31 0.001569
133 0.32 0.0016199
134 0.33 0.0016704
135 0.34 0.0017211
136 0.35 0.0017717
137 0.36 0.0018223
138 0.37 0.0018725
139 0.38 0.0019232
140 0.39 0.001974
141 0.4 0.0020245
142 0.41 0.002075
143 0.42 0.0021257
144 0.43 0.0021759
145 0.44 0.0022264
146 0.45 0.0022771
147 0.46 0.0023275
148 0.47 0.0023781
149 0.48 0.0024288
150 0.49 0.002479
151 0.5 0.0025297
152 0.51 0.0025803
153 0.52 0.0026308
154 0.53 0.0026815
155 0.54 0.0027318
156 0.55 0.002782
157 0.56 0.0028325
158 0.57 0.0028832
159 0.58 0.002934
160 0.59 0.0029843
161 0.6 0.0030348
162 0.61 0.0030852
163 0.62 0.0031354
164 0.63 0.0031858
165 0.64 0.0032363
166 0.65 0.0032867
167 0.66 0.003337
168 0.67 0.0033876
169 0.68 0.0034378
170 0.69 0.0034882
171 0.7 0.0035387
172 0.71 0.0035891
173 0.72 0.0036394
174 0.73 0.0036899
175 0.74 0.0037399
176 0.75 0.0037903
177 0.76 0.0038404
178 0.77 0.0038908
179 0.78 0.0039412
180 0.79 0.0039915
181 0.8 0.0040421
182 0.81 0.0040918
183 0.82 0.004142
184 0.83 0.0041922
185 0.84 0.0042424
186 0.85 0.0042929
187 0.86 0.0043428
188 0.87 0.0043929
189 0.88 0.0044433
190 0.89 0.0044932
191 0.9 0.0045435
192 0.91 0.0045937
193 0.92 0.0046439
194 0.93 0.0046937
195 0.94 0.0047439
196 0.95 0.0047941
197 0.96 0.0048439
198 0.97 0.0048941
199 0.98 0.0049437
200 0.99 0.0049937
201 1 0.005044
